DY,MO,YEAR,pm25
15,9,2020,61
16,9,2020,55
17,9,2020,50
18,9,2020,31
19,9,2020,46
20,9,2020,52
21,9,2020,82
22,9,2020,78
23,9,2020,63
24,9,2020,81
25,9,2020,83
26,9,2020,57
27,9,2020,59
28,9,2020,38
29,9,2020,47
30,9,2020,59
1,4,2020,50
2,4,2020,53
3,4,2020,56
4,4,2020,54
5,4,2020,54
6,4,2020,55
7,4,2020,53
8,4,2020,58
9,4,2020,74
10,4,2020,67
11,4,2020,56
12,4,2020,62
13,4,2020,87
14,4,2020,107
15,4,2020,89
16,4,2020,69
17,4,2020,64
18,4,2020,65
19,4,2020,61
20,4,2020,59
21,4,2020,64
22,4,2020,55
23,4,2020,57
24,4,2020,86
25,4,2020,105
26,4,2020,85
27,4,2020,101
28,4,2020,86
29,4,2020,76
30,4,2020,65
1,5,2020,52
2,5,2020,54
3,5,2020,56
4,5,2020,47
5,5,2020,52
6,5,2020,42
7,5,2020,37
8,5,2020,34
9,5,2020,34
10,5,2020,38
11,5,2020,38
12,5,2020,56
13,5,2020,54
14,5,2020,60
15,5,2020,51
16,5,2020,56
17,5,2020,48
18,5,2020,61
19,5,2020,51
20,5,2020,66
21,5,2020,67
22,5,2020,67
23,5,2020,76
24,5,2020,77
25,5,2020,74
26,5,2020,89
27,5,2020,80
28,5,2020,80
29,5,2020,68
30,5,2020,90
31,5,2020,77
1,6,2020,92
2,6,2020,76
3,6,2020,88
4,6,2020,70
5,6,2020,81
6,6,2020,62
7,6,2020,74
8,6,2020,61
9,6,2020,64
10,6,2020,67
11,6,2020,87
12,6,2020,70
13,6,2020,64
14,6,2020,51
15,6,2020,62
16,6,2020,65
17,6,2020,117
18,6,2020,86
19,6,2020,100
20,6,2020,64
21,6,2020,63
22,6,2020,67
23,6,2020,62
24,6,2020,72
25,6,2020,85
26,6,2020,94
27,6,2020,51
28,6,2020,45
29,6,2020,59
30,6,2020,108
1,1,2020,80
2,1,2020,76
3,1,2020,91
4,1,2020,108
5,1,2020,110
6,1,2020,127
